network_id,context_id,node_id,node,degree,strength,domain,role,node_instance_id,is_focal
net_g05_w55_high,ctx_w55_high,AFF_FEAR,AFF_FEAR,6,1.0544797073628167,affect,non_focal,net_g05_w55_high__AFF_FEAR,false
net_g05_w55_high,ctx_w55_high,AFF_WORRY,AFF_WORRY,5,0.7797261989792188,affect,non_focal,net_g05_w55_high__AFF_WORRY,false
net_g05_w55_high,ctx_w55_high,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,7,0.5169383222265111,affect,non_focal,net_g05_w55_high__WORRY_HEALTH_SYSTEM,false
net_g05_w55_high,ctx_w55_high,USE2_AVOID,USE2_AVOID,7,0.7157923584307695,behavior,non_focal,net_g05_w55_high__USE2_AVOID,false
net_g05_w55_high,ctx_w55_high,USE2_HANDWASH20,USE2_HANDWASH20,7,0.6438940668004065,behavior,non_focal,net_g05_w55_high__USE2_HANDWASH20,false
net_g05_w55_high,ctx_w55_high,USE2_MASK,USE2_MASK,6,0.6262255986758893,behavior,non_focal,net_g05_w55_high__USE2_MASK,false
net_g05_w55_high,ctx_w55_high,USE2_SPACE150,USE2_SPACE150,5,0.8069788536681889,behavior,non_focal,net_g05_w55_high__USE2_SPACE150,false
net_g05_w55_high,ctx_w55_high,SEVERITY,SEVERITY,7,0.7528889558320176,belief,focal_belief,net_g05_w55_high__SEVERITY,true
net_g05_w55_low,ctx_w55_low,AFF_FEAR,AFF_FEAR,4,1.023739640788046,affect,non_focal,net_g05_w55_low__AFF_FEAR,false
net_g05_w55_low,ctx_w55_low,AFF_WORRY,AFF_WORRY,6,0.8947344675351271,affect,non_focal,net_g05_w55_low__AFF_WORRY,false
net_g05_w55_low,ctx_w55_low,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.7061330106379401,affect,non_focal,net_g05_w55_low__WORRY_HEALTH_SYSTEM,false
net_g05_w55_low,ctx_w55_low,USE2_AVOID,USE2_AVOID,7,0.7738489695142686,behavior,non_focal,net_g05_w55_low__USE2_AVOID,false
net_g05_w55_low,ctx_w55_low,USE2_HANDWASH20,USE2_HANDWASH20,5,0.6462332261829659,behavior,non_focal,net_g05_w55_low__USE2_HANDWASH20,false
net_g05_w55_low,ctx_w55_low,USE2_MASK,USE2_MASK,6,0.8040626599097914,behavior,non_focal,net_g05_w55_low__USE2_MASK,false
net_g05_w55_low,ctx_w55_low,USE2_SPACE150,USE2_SPACE150,5,0.9187710664340604,behavior,non_focal,net_g05_w55_low__USE2_SPACE150,false
net_g05_w55_low,ctx_w55_low,SEVERITY,SEVERITY,7,0.5874761104088834,belief,focal_belief,net_g05_w55_low__SEVERITY,true
net_g05_w56_high,ctx_w56_high,AFF_FEAR,AFF_FEAR,5,0.903138797189348,affect,non_focal,net_g05_w56_high__AFF_FEAR,false
net_g05_w56_high,ctx_w56_high,AFF_WORRY,AFF_WORRY,4,0.6754255017261354,affect,non_focal,net_g05_w56_high__AFF_WORRY,false
net_g05_w56_high,ctx_w56_high,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.4639322394877287,affect,non_focal,net_g05_w56_high__WORRY_HEALTH_SYSTEM,false
net_g05_w56_high,ctx_w56_high,USE2_AVOID,USE2_AVOID,7,0.7674003812013401,behavior,non_focal,net_g05_w56_high__USE2_AVOID,false
net_g05_w56_high,ctx_w56_high,USE2_HANDWASH20,USE2_HANDWASH20,5,0.6883495833868825,behavior,non_focal,net_g05_w56_high__USE2_HANDWASH20,false
net_g05_w56_high,ctx_w56_high,USE2_MASK,USE2_MASK,4,0.5150405725910051,behavior,non_focal,net_g05_w56_high__USE2_MASK,false
net_g05_w56_high,ctx_w56_high,USE2_SPACE150,USE2_SPACE150,6,0.7957836052638008,behavior,non_focal,net_g05_w56_high__USE2_SPACE150,false
net_g05_w56_high,ctx_w56_high,SEVERITY,SEVERITY,5,0.5026123192603923,belief,focal_belief,net_g05_w56_high__SEVERITY,true
net_g05_w56_low,ctx_w56_low,AFF_FEAR,AFF_FEAR,5,0.8833701784621819,affect,non_focal,net_g05_w56_low__AFF_FEAR,false
net_g05_w56_low,ctx_w56_low,AFF_WORRY,AFF_WORRY,5,1.1037059346661364,affect,non_focal,net_g05_w56_low__AFF_WORRY,false
net_g05_w56_low,ctx_w56_low,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.4005454464980334,affect,non_focal,net_g05_w56_low__WORRY_HEALTH_SYSTEM,false
net_g05_w56_low,ctx_w56_low,USE2_AVOID,USE2_AVOID,6,0.7322948966868015,behavior,non_focal,net_g05_w56_low__USE2_AVOID,false
net_g05_w56_low,ctx_w56_low,USE2_HANDWASH20,USE2_HANDWASH20,3,0.573844771945557,behavior,non_focal,net_g05_w56_low__USE2_HANDWASH20,false
net_g05_w56_low,ctx_w56_low,USE2_MASK,USE2_MASK,6,0.731433394260891,behavior,non_focal,net_g05_w56_low__USE2_MASK,false
net_g05_w56_low,ctx_w56_low,USE2_SPACE150,USE2_SPACE150,6,0.9553669169833452,behavior,non_focal,net_g05_w56_low__USE2_SPACE150,false
net_g05_w56_low,ctx_w56_low,SEVERITY,SEVERITY,5,0.7169607858782181,belief,focal_belief,net_g05_w56_low__SEVERITY,true
net_g05_w57_high,ctx_w57_high,AFF_FEAR,AFF_FEAR,4,0.8180223210028181,affect,non_focal,net_g05_w57_high__AFF_FEAR,false
net_g05_w57_high,ctx_w57_high,AFF_WORRY,AFF_WORRY,4,0.8708154366061559,affect,non_focal,net_g05_w57_high__AFF_WORRY,false
net_g05_w57_high,ctx_w57_high,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,5,0.5687557881498766,affect,non_focal,net_g05_w57_high__WORRY_HEALTH_SYSTEM,false
net_g05_w57_high,ctx_w57_high,USE2_AVOID,USE2_AVOID,5,0.5539979239852432,behavior,non_focal,net_g05_w57_high__USE2_AVOID,false
net_g05_w57_high,ctx_w57_high,USE2_HANDWASH20,USE2_HANDWASH20,5,0.5124211808120982,behavior,non_focal,net_g05_w57_high__USE2_HANDWASH20,false
net_g05_w57_high,ctx_w57_high,USE2_MASK,USE2_MASK,4,0.4354775682513453,behavior,non_focal,net_g05_w57_high__USE2_MASK,false
net_g05_w57_high,ctx_w57_high,USE2_SPACE150,USE2_SPACE150,4,0.4837657447413957,behavior,non_focal,net_g05_w57_high__USE2_SPACE150,false
net_g05_w57_high,ctx_w57_high,SEVERITY,SEVERITY,3,0.3636285293789997,belief,focal_belief,net_g05_w57_high__SEVERITY,true
net_g05_w57_low,ctx_w57_low,AFF_FEAR,AFF_FEAR,5,0.8247265213655298,affect,non_focal,net_g05_w57_low__AFF_FEAR,false
net_g05_w57_low,ctx_w57_low,AFF_WORRY,AFF_WORRY,6,1.1425861919616809,affect,non_focal,net_g05_w57_low__AFF_WORRY,false
net_g05_w57_low,ctx_w57_low,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.6893503242226129,affect,non_focal,net_g05_w57_low__WORRY_HEALTH_SYSTEM,false
net_g05_w57_low,ctx_w57_low,USE2_AVOID,USE2_AVOID,7,0.8144648166396213,behavior,non_focal,net_g05_w57_low__USE2_AVOID,false
net_g05_w57_low,ctx_w57_low,USE2_HANDWASH20,USE2_HANDWASH20,5,0.716960455770601,behavior,non_focal,net_g05_w57_low__USE2_HANDWASH20,false
net_g05_w57_low,ctx_w57_low,USE2_MASK,USE2_MASK,6,0.8232260058462834,behavior,non_focal,net_g05_w57_low__USE2_MASK,false
net_g05_w57_low,ctx_w57_low,USE2_SPACE150,USE2_SPACE150,4,0.964537433083385,behavior,non_focal,net_g05_w57_low__USE2_SPACE150,false
net_g05_w57_low,ctx_w57_low,SEVERITY,SEVERITY,5,0.5542090885757758,belief,focal_belief,net_g05_w57_low__SEVERITY,true
